사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201905,분당선,가천대,32,1,5684,917,7630,4174,20555,7239,29933,48315,17991,52277,12090,41722,13484,15048,21188,22497,18168,21152,22311,14880,30514,13642,41566,15707,37196,19361,25355,26948,18211,24564,14828,18129,13268,19082,12301,20347,7860,15840,439,2691,0,0,0,0,0,0,20190603
201905,4호선,회현(남대문시장),50,2,2835,1171,4832,28259,7724,63331,12530,178799,18110,124865,26724,104654,40473,109062,55507,89133,71432,75935,85659,71850,94258,62024,102579,46212,141116,35850,146485,28193,73156,17754,69874,10359,32012,11811,19330,10123,8220,6751,963,2126,1,182,0,0,0,0,20190603
201905,분당선,개포동,2,0,742,564,3120,8397,8238,6341,9514,10044,6597,7524,5228,6492,5116,3782,6884,4163,5987,5243,5350,4861,6314,5188,9269,5822,10960,6887,8764,9017,5188,8354,4266,5393,3892,5071,3356,5423,1129,3573,59,478,0,0,0,0,0,0,20190603
201905,분당선,수원,987,20,4265,637,9667,3793,32954,8531,36907,14863,19798,11477,12164,7313,11419,7143,11777,9674,11957,10317,12021,9349,13529,9618,17666,14284,21642,17773,24812,26028,19768,22245,17474,12715,15498,9572,14531,8649,6419,4925,140,2274,2,2,0,0,0,0,20190603
201905,경원선,청량리(서울시립대입구),1152,1,7973,1354,9957,13374,32491,18892,38974,28630,34563,40503,34009,32355,27772,39061,33352,36982,36309,36741,36936,37632,41462,41671,39666,43721,43370,43632,39335,58549,35095,47327,38919,26358,20422,23473,16309,20088,6548,11998,438,5230,0,0,0,0,0,0,20190603
201905,경원선,광운대,1969,6,7258,2001,15702,4089,39921,8021,36177,28450,21710,16660,15958,16388,14768,20148,16072,15221,16102,15938,16155,16061,17546,14673,20646,17837,25092,21626,21737,30391,12339,28405,11597,18902,10853,16095,11877,16703,5539,13210,579,7314,0,20,0,0,0,0,20190603
201905,경원선,석계,1373,11,8115,3057,16475,6544,31342,7877,37162,15406,26938,11347,20882,10646,17976,11422,17841,13439,18060,14323,15753,16156,16442,19481,17084,23990,18671,32103,17832,43627,12821,40217,10528,26000,9898,23265,8629,22819,4238,14127,328,3550,0,9,0,0,0,0,20190603
201905,2호선,신정네거리,47,1,10119,3456,16546,7782,51795,5862,48783,13313,29176,9692,19545,8300,17254,9616,17124,11011,15674,13256,13411,14895,12696,18038,14650,22707,18786,30083,15248,46195,9191,39865,6922,24217,5889,21142,4952,21089,2336,14732,373,4313,1,300,0,0,0,0,20190603
201905,경원선,왕십리(성동구청),966,7,6317,1047,10461,6115,30467,14503,46737,28312,29945,26007,18813,22817,19137,25206,22491,27723,26875,30702,27166,30486,30293,32256,37526,38625,42353,48380,42440,78606,33573,66825,32370,38540,38177,31461,38087,31086,18885,17196,2062,6780,0,0,0,0,0,0,20190603
201905,경춘선,신내,4,0,488,268,1385,930,3018,4026,3108,3178,1808,1192,1476,1165,1207,996,1340,1025,1300,1047,1167,1535,1264,1450,2024,1592,1788,2160,2029,2879,1277,2137,892,1300,862,1020,685,918,341,386,4,128,1,0,0,0,0,0,20190603
201905,3호선,일원,7,0,2264,1589,9369,9631,28154,31498,27837,27974,19227,21425,18378,19707,20276,15057,21231,16203,18242,18452,18559,18012,21413,15899,28548,14993,32249,17803,18886,22657,11906,20786,9836,13311,6973,12620,4216,14424,1628,7215,220,2531,0,36,0,0,0,0,20190603
201905,일산선,화정,188,7,11737,1686,27583,8332,66774,14460,70215,37575,45909,29778,37427,25724,36013,26893,37201,29415,38459,31946,36048,36498,36026,43330,36903,47082,38226,56559,37781,72864,23310,67823,19673,43318,22041,36823,18153,35467,7976,21767,1364,6533,1,1,0,0,0,0,20190603
201905,5호선,을지로4가,4,0,437,315,745,5267,1538,13731,2309,40371,3009,20066,3991,12987,5386,11912,6578,10879,8398,10172,9828,9247,11171,8213,12509,7306,17830,6599,32318,6751,18707,3857,10225,2042,8202,1643,6089,1253,2796,963,422,336,0,1,0,0,0,0,20190603
201905,과천선,정부과천청사,11,0,1813,2368,6037,14523,20251,29785,20011,80862,17935,28881,16362,19818,17046,18125,18172,14059,21201,15191,26717,14976,23636,14874,26720,14685,36398,18298,64201,26085,19381,23494,15993,13299,18935,10693,11768,9558,4153,6382,424,1987,0,1,0,0,0,0,20190603
201905,3호선,을지로3가,5,0,750,1115,1422,8754,2601,33493,5380,82617,8639,42255,10500,21372,12799,18381,12648,16451,15821,18037,18281,15779,19410,15878,21064,16175,33837,18515,69761,23071,35709,15348,23503,7410,23456,5545,18887,3980,11259,2792,1915,717,0,5,0,0,0,0,20190603
201905,경강선,곤지암,1,0,710,127,2339,1325,7049,5225,7247,8623,5294,5649,3545,4560,3714,3396,3654,3497,4445,3057,4233,2993,4419,3373,6190,4159,8435,4867,7790,6078,3708,6561,2098,3825,1448,4318,715,3287,296,2629,3,3,0,0,0,0,0,0,20190603
201905,경강선,판교,12,0,566,10,1744,4024,5556,11060,4494,25480,2847,21458,2917,8726,2989,7513,3412,5647,4095,5307,5059,4699,6506,4401,7362,4987,11033,6888,21776,5800,16590,4628,14192,1942,10565,1777,6229,1217,2140,700,0,273,0,0,0,0,0,0,20190603
201905,경원선,월계,972,17,5787,1873,9148,4048,22114,10101,23547,14930,16297,21418,13114,12810,12727,7950,13865,10828,13329,12240,11143,10345,14017,10660,20836,13923,21594,16124,16000,19639,9361,18597,7858,12049,7580,10307,6254,9851,2073,6909,224,1947,0,0,0,0,0,0,20190603
201905,경원선,외대앞,641,5,6347,1826,10186,4447,23076,7025,30260,33092,20446,17690,15690,25517,16280,20294,18401,20103,19133,14890,21007,18816,22761,16084,24681,18776,32470,23111,27839,29682,18971,26418,16291,18062,17986,18139,14762,18110,9068,15615,471,4393,0,3,0,0,0,0,20190603
201905,6호선,연신내,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,3,0,1,0,2,0,2,0,2,0,1,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,20190603
201905,분당선,복정,0,0,0,0,0,0,1,0,4,0,4,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,1,0,3,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20190603
201905,경원선,옥수,3,0,4,12,10,47,27,30,71,386,86,58,16,189,17,216,10,75,19,44,27,18,23,11,381,18,423,26,35,30,428,20,20,16,10,15,17,12,40,1,1,1,0,0,0,0,0,0,20190603
201905,경인선,부평,7842,62,29903,6700,45225,16303,111390,27122,105605,44620,64139,51597,52244,46384,51986,53302,59487,62020,58413,74301,59198,73235,63519,80492,72714,94769,80254,116237,79901,167650,64837,144990,61460,88418,63953,72220,56570,59805,31805,43081,5676,13524,0,1,0,0,0,0,20190603
201905,2호선,종합운동장,19,1,2431,1335,7891,12186,21632,31165,31704,46330,22673,27825,16383,20720,16048,18531,17999,28439,20198,43486,18639,24813,23911,30392,38149,47489,54591,68285,30761,95452,21425,40215,34897,17186,89447,16378,48983,16326,4771,9608,640,3328,4,129,0,0,0,0,20190603
201905,경원선,동두천중앙,24,0,2662,35,6538,3000,12176,6901,13203,12979,10496,6590,7355,5392,7944,6618,8874,5931,8130,6210,6847,6173,6601,7032,8127,6934,8405,9524,9421,9101,4212,9145,3038,6552,2256,4996,1496,5407,565,3990,4,1711,0,0,0,0,0,0,20190603
201905,2호선,사당,84,2,16006,4446,30459,38588,87938,62510,121696,89455,88855,69839,59900,54388,53572,61988,62916,60644,69843,62900,71576,61630,68036,73083,73897,92402,90614,125629,115318,190198,84872,150081,76730,89681,85680,85618,84141,87416,50264,55892,9349,17671,14,1366,0,0,0,0,20190603
201905,2호선,강변(동서울터미널),37,1,10613,4674,34325,36772,106432,42194,154980,68325,118116,63130,93645,55526,85154,55476,83024,61854,80960,73297,75348,79234,74066,91410,80064,104216,89478,118065,102978,161614,84041,128457,68146,90639,65642,81876,42999,75910,18086,41088,2441,11549,1,80,0,0,0,0,20190603
201905,과천선,대공원,2,0,57,572,278,4121,997,6606,1292,34062,2051,57568,3662,44570,10494,30411,19485,21793,17731,21785,26287,17950,37596,11394,36937,7736,33190,3917,29898,2787,15886,1712,10134,900,10744,626,5948,477,385,307,61,99,0,0,0,0,0,0,20190603
201905,경부선,지제,2,0,867,3756,2572,5129,7812,10598,6179,7481,4858,3290,3571,2414,3295,2803,4215,2835,3446,2730,3287,2734,4740,4017,6016,4645,11814,4796,10207,7223,6161,5925,3852,4683,3863,4040,2481,3167,999,1925,2,440,0,0,0,0,0,0,20190603
201905,2호선,구의(광진구청),55,3,15324,1478,30065,11313,78932,17595,132672,44297,77439,28344,42118,23404,35280,22532,36216,25568,36705,29442,32878,31120,31303,38067,35315,44128,40378,59688,49925,94425,28917,77688,22811,52090,21792,52698,18418,50992,11315,31335,1846,11274,3,61,0,1,0,0,20190603
201905,경춘선,별내,41,0,1066,926,2925,2392,10031,4480,9770,8027,5778,4963,4530,3408,3715,3266,4160,3691,4229,3198,4116,4253,4820,4987,5788,4715,6841,6733,6862,7203,3619,8622,3284,5000,2983,3254,2572,3493,1230,2257,41,480,0,0,0,0,0,0,20190603
